"","x"
"1",0.0034719551341731
"2",0.00131610522300551
"3",0.0196162082423985
"4",0.0131254426278616
"5",0.0434348956234052
"6",0.0183011466767703
"7",0.00897210791396887
"8",0.0129221886474054
"9",0.0681003091035244
"10",0.0113120799302445
"11",0.0185890821730486
"12",0.0111148624146385
"13",0.0704189776889114
"14",0.0704189776889114
"15",0.0362397101463634
"16",0.0017980639017744
"17",0.0877915880262918
"18",0.0601640317841937
"19",0.0961452228859829
"20",0.0877915880262918
"21",0.0961452228859829
"22",0.0563107805442454
"23",0.0803175485992671
"24",0.0915833754866474
"25",0.0242579196667971
"26",0.0149658989871078
"27",0.103614607082361
"28",0.0916935859676761
"29",0.127141789108469
"30",0.0784918567705842
"31",0.116383787340823
"32",0.098541213423143
"33",0.113011510522199
"34",0.077981352188147
"35",0.148776758586164
"36",0.148776758586164
"37",0.129858583475798
"38",0.111381186506112
"39",0.0616684009923388
"40",0.167240679024606
"41",0.167240679024606
"42",0.171484040191026
"43",0.15877494594187
"44",0.121447836869334
"45",0.159241518288777
"46",0.159241518288777
"47",0.150921986975812
"48",0.174132918714049
"49",0.16271293840457
"50",0.16271293840457
"51",0.195089534643684
"52",0.195089534643684
"53",0.18985540263903
"54",0.18985540263903
"55",0.18389669276272
"56",0.190434596846679
"57",0.179589857828649
"58",0.224690326059533
"59",0.207668498472263
"60",0.193010000810334
"61",0.21942400109506
"62",0.212760538024613
"63",0.21998573584411
"64",0.227216489720825
"65",0.234213263567243
"66",0.182309252874472
"67",0.210751017855844
"68",0.25804497284228
"69",0.244325212167295
"70",0.244325212167295
"71",0.260230547236348
"72",0.265427344590113
"73",0.27170122890456
"74",0.285133545188458
"75",0.227564133981215
"76",0.286284077069239
"77",0.313728853793995
"78",0.312301106643665
"79",0.307362845267368
"80",0.328759232923642
"81",0.307362845267368
"82",0.330398750771237
"83",0.364151656014573
"84",0.362969868050722
"85",0.368578548911692
"86",0.349278142134111
"87",0.349278142134111
"88",0.349894070002513
"89",0.320942213044425
"90",0.262485279823949
"91",0.411807125025636
"92",0.262485279823949
"93",0.262485279823949
"94",0.439826275396328
"95",0.425380390884443
"96",0.346674359328408
"97",0.435557679958248
"98",0.482366518925549
"99",0.441919721040226
"100",0.413624843325268
"101",0.441919721040226
"102",0.297424018183481
"103",0.509402300860651
"104",0.460163721929388
"105",0.397741521903981
"106",0.397741521903981
"107",0.571510194666354
"108",0.455385051538607
"109",0.332091067780903
"110",0.665737840972434
"111",0.332091067780903
"112",0.558764596938364
"113",0.496107178116647
"114",0.496107178116647
"115",0.57388882388848
"116",0.548171146063508
"117",0.650373102325265
"118",0.47199477116629
"119",0.47199477116629
"120",0.366249280892975
"121",0.47199477116629
"122",0.573244644525097
"123",0.573244644525097
"124",0.718031726230288
"125",0.3997065920171
"126",0.69700374048174
"127",0.749414306760599
"128",0.563855949298867
"129",0.563855949298867
"130",0.432309813706539
"131",0.796039648936471
"132",0.77464972851913
"133",0.675318690291469
"134",0.892501332931685
"135",0.605965968724898
"136",0.705309613625994
"137",0.625980996727894
"138",0.625980996727894
"139",0.719531859034519
"140",0.719531859034519
"141",0.494503582142403
"142",0.494503582142403
"143",0.75913463500576
"144",0.896692264249825
"145",0.523936331551239
"146",0.523936331551239
"147",0.681745519863245
"148",0.883696242993325
"149",0.698899554817827
"150",0.846681543331864
"151",0.794263706676684
"152",0.55219153112634
"153",0.55219153112634
"154",0.731081449049975
"155",0.579240845996305
"156",0.605070709291493
"157",0.605070709291493
"158",0.605070709291493
"159",0.774195711271673
"160",0.605070709291493
"161",0.774195711271673
"162",0.868042788303312
"163",0.868042788303312
"164",0.787247781149511
"165",0.629679885478453
"166",0.955568385944193
"167",0.822688758102699
"168",0.822688758102699
"169",0.65307735304659
"170",0.65307735304659
"171",0.65307735304659
"172",0.822688758102699
"173",0.65307735304659
"174",0.843413839203459
"175",0.675280468798121
"176",0.71620565599421
"177",0.886258976566439
"178",0.886258976566439
"179",0.73499110867328
"180",0.89345469401327
"181",0.89345469401327
"182",0.73499110867328
"183",0.900239316116308
"184",0.912651837029115
"185",0.933357489049713
"186",0.799836943515213
"187",0.799836943515213
"188",0.941920377982194
"189",0.813681124565968
"190",0.826663321806035
"191",0.826663321806035
"192",0.988600767881645
"193",0.973370684826678
"194",0.91795021760973
"195",0.934935817899384
"196",0.939816124847066
"197",0.948553099274518
"198",0.948553099274518
"199",0.972826331690763
"200",0.988009533314978
"201",0.99629451282088
