"","x"
"1",9.98228135358582e-06
"2",1.3050385853097e-08
"3",0.00100190762957005
"4",9.85509773354642e-10
"5",8.75090188934134e-23
"6",8.71609152510613e-07
"7",1.68005896711004e-07
"8",1.68005896711004e-07
"9",1.58162120758328e-05
"10",0.000379325412355652
"11",0.0374360550033779
"12",0.000102990750868012
"13",1.10122736398347e-07
"14",0.00941879854131979
"15",3.88380608486544e-05
"16",4.26248330524169e-06
"17",0.0130478154971204
"18",0.0256091241585514
"19",0.100162529156643
"20",0.0428582298314925
"21",0.00485110937491039
"22",0.0216076178529285
"23",0.027198499072763
"24",0.00512175154885538
"25",0.0555728401057064
"26",0.0259054233599184
"27",0.0197548121416614
"28",0.064453088716974
"29",0.00292345400962187
"30",0.0607595414261415
"31",0.0670728631095315
"32",0.111777480965011
"33",0.103136243909675
"34",0.0475339653632268
"35",0.066635403819401
"36",0.0137988549427573
"37",0.00619795669034198
"38",0.0860389271151041
"39",0.0301406436979043
"40",0.123551873089161
"41",0.0646327633897367
"42",0.11218330263684
"43",0.179913469546479
"44",0.185557827984194
"45",0.164423926168005
"46",0.185557827984194
"47",0.185557827984194
"48",0.148406279521051
"49",0.0920378483984737
"50",0.142061421686379
"51",0.133228662046554
"52",0.0832961354468268
"53",0.14941309458134
"54",0.14941309458134
"55",0.0881610823183223
"56",0.0753428144606547
"57",0.190149815755117
"58",0.0815581339106523
"59",0.138814250550557
"60",0.0723858462956652
"61",0.170547926464795
"62",0.227582878138926
"63",0.180735206942221
"64",0.141139260179552
"65",0.199932524727846
"66",0.247937714479589
"67",0.217895643965409
"68",0.132631342868124
"69",0.205727955960766
"70",0.189851503366046
"71",0.225813441674855
"72",0.262768243598396
"73",0.196777799987515
"74",0.266261586565061
"75",0.295232386905674
"76",0.295232386905674
"77",0.296965017558806
"78",0.337721910547254
"79",0.336552969522123
"80",0.328331121885324
"81",0.332944398494187
"82",0.28681956637783
"83",0.28681956637783
"84",0.336552969522123
"85",0.237111273699535
"86",0.369207283537559
"87",0.385549151607147
"88",0.384743351481558
"89",0.388975305439463
"90",0.408504344837545
"91",0.426426939337273
"92",0.426426939337273
"93",0.445484238552201
"94",0.39556123487783
"95",0.472208985075174
"96",0.499287700631816
"97",0.496127266852278
"98",0.444506110471496
"99",0.395953327433475
"100",0.525345215854554
"101",0.489640545685332
"102",0.455810366679939
"103",0.394888787741387
"104",0.567776233304277
"105",0.702358262015023
"106",0.497363142709652
"107",0.625456658314342
"108",0.547328281457442
"109",0.547328281457442
"110",0.505983826752928
"111",0.637827253401083
"112",0.564845246750291
"113",0.63202362526518
"114",0.560106561328808
"115",0.560106561328808
"116",0.707955288211718
"117",0.741705792362501
"118",0.47886082960527
"119",0.573152046971004
"120",0.672631546201636
"121",0.47886082960527
"122",0.47886082960527
"123",0.630509398973265
"124",0.695775126673833
"125",0.743372177456925
"126",0.884850028448217
"127",0.540752000070115
"128",0.727933733074501
"129",0.627076339429739
"130",0.627076339429739
"131",0.757842872405503
"132",0.757842872405503
"133",0.659535653920438
"134",0.81529458408483
"135",0.711757522509633
"136",0.490022169059031
"137",0.703868015553559
"138",0.645227923804112
"139",0.490022169059031
"140",0.490022169059031
"141",0.377537783203366
