"ENSG00000000003"
"ENSG00000001629"
"ENSG00000002549"
"ENSG00000002834"
"ENSG00000002919"
"ENSG00000003137"
"ENSG00000003393"
"ENSG00000003436"
"ENSG00000004660"
"ENSG00000004766"
"ENSG00000004838"
"ENSG00000005175"
"ENSG00000005810"
"ENSG00000006327"
"ENSG00000006607"
"ENSG00000006652"
"ENSG00000007038"
"ENSG00000007047"
"ENSG00000007080"
"ENSG00000007520"
"ENSG00000007923"
"ENSG00000008226"
"ENSG00000008294"
"ENSG00000008988"
"ENSG00000009307"
"ENSG00000010165"
"ENSG00000010256"
"ENSG00000010361"
"ENSG00000011021"
"ENSG00000012048"
"ENSG00000012822"
"ENSG00000012983"
"ENSG00000013364"
"ENSG00000013561"
"ENSG00000013810"
"ENSG00000014216"
"ENSG00000015475"
"ENSG00000016402"
"ENSG00000018189"
"ENSG00000022267"
"ENSG00000023191"
"ENSG00000023287"
"ENSG00000023516"
"ENSG00000024862"
"ENSG00000025772"
"ENSG00000026103"
"ENSG00000027075"
"ENSG00000031698"
"ENSG00000033170"
"ENSG00000035687"
"ENSG00000036672"
"ENSG00000037241"
"ENSG00000037757"
"ENSG00000038210"
"ENSG00000039319"
"ENSG00000040275"
"ENSG00000041357"
"ENSG00000044574"
"ENSG00000047056"
"ENSG00000047188"
"ENSG00000047644"
"ENSG00000047849"
"ENSG00000048828"
"ENSG00000049239"
"ENSG00000049246"
"ENSG00000049323"
"ENSG00000050165"
"ENSG00000050820"
"ENSG00000051108"
"ENSG00000051128"
"ENSG00000051825"
"ENSG00000053371"
"ENSG00000053524"
"ENSG00000053747"
"ENSG00000054116"
"ENSG00000054523"
"ENSG00000055147"
"ENSG00000055332"
"ENSG00000055732"
"ENSG00000055917"
"ENSG00000056050"
"ENSG00000056586"
"ENSG00000057019"
"ENSG00000057149"
"ENSG00000057704"
"ENSG00000058063"
"ENSG00000058085"
"ENSG00000058272"
"ENSG00000058729"
"ENSG00000059378"
"ENSG00000060138"
"ENSG00000060237"
"ENSG00000061273"
