,cytoplasm,nucleus,nucleuscytoplasm
hsa04550,0.165304918,0.562118127,0.27590683
hsa04610,0.341105387,0.130491708,0.256199199
hsa04611,0.402145299,0.312493301,0.188778357
hsa04612,0.238773771,0.342540734,0
hsa04614,0.57305705,0.274032587,0
hsa04620,0.436021669,0.327647658,0.58480252
hsa04621,0.369714226,0.132596413,0.867771481
hsa04622,0.477547542,0.207600445,0.652143416
hsa04623,0.334283279,0.593737271,0.717357758
hsa04630,0.449037241,0.327203089,0.401506208
hsa04640,0.260480477,0.249120533,0.489107562
hsa04650,0.488400895,0.404820867,0.366830672
hsa04660,0.397956285,0.43134759,0.398532088
hsa04662,0.377011217,0.432683032,0.566335072
hsa04664,0.447700821,0.470993509,0.168130725
hsa04666,0.551016395,0.263492872,0.310395184
hsa04668,0.384889064,0.409003861,0.722711174
hsa04670,0.30481758,0.174914417,0.114471983
hsa04672,0.358160656,0.171270367,2.017568694
hsa04710,0.143264263,0.685081467,1.614054955
hsa04713,0.358160656,0.538278296,0.384298799
hsa04720,0.318365028,0.558214529,0.199266044
hsa04721,0.330609837,0.158095723,0.82772049
hsa04722,0.417098486,0.485627369,0.476725092
hsa04723,0.27288431,0.521966832,0
hsa04724,0.30389389,0.3736808,0.163035854
hsa04725,0.347307303,0.581281245,0
hsa04726,0.440813116,0.421588595,0
hsa04727,0.447700821,0.25690555,0
hsa04728,0.268620492,0.456720978,0.11208715
hsa04730,0.57305705,0.342540734,0
hsa04740,0.286528525,0.548065174,0
hsa04742,0.286528525,0.82209776,0
hsa04744,0.238773771,0.456720978,0
hsa04750,0.463502026,0.282092369,0.158240682
hsa04810,0.42297068,0.234885074,0.15371952
hsa04910,0.584367387,0.270426895,0.35395942
hsa04911,0.358160656,0.685081467,0
hsa04912,0.325600597,0.498241067,0.244553781
hsa04913,0.260480477,0.3736808,0
hsa04914,0.268620492,0.542356161,0.448348599
hsa04915,0.378433901,0.568746878,0
hsa04916,0.314482528,0.568116339,0
hsa04917,0.404078689,0.491853361,0.27590683
hsa04918,0.462142783,0.530385652,0
hsa04919,0.342123612,0.531705019,0.240903725
hsa04920,0.450259111,0.234885074,0.768597598
hsa04921,0.434134129,0.352920756,0.407589635
hsa04922,0.417854099,0.456720978,0.448348599
hsa04923,0.373732859,0.357433809,0.233921008
hsa04924,0.214896394,0.41104888,0.269009159
hsa04930,0.58991167,0.322391279,0.632962728
hsa04931,0,0.314463624,0.61739807
hsa04932,0.252819287,0.241793459,0.553842387
hsa04940,0.537240985,0,0
hsa04950,0.238773771,1.141802445,0
hsa04960,0.477547542,0.342540734,0.896697197
hsa04961,0.377011217,0.288455355,0
hsa04962,0.57305705,0.383645622,0
hsa04966,0.260480477,0.3736808,0.978215125
