"","x"
"1",0
"2",0
"3",0
"4",0
"5",0.00134202694556313
"6",0.00134202694556313
"7",0.0070167461471967
"8",0.00129421143182942
"9",0.00568392398486359
"10",2.70678328191608e-15
"11",0.00381230606832791
"12",0.014463349090932
"13",0.0240409037520974
"14",0.0366691043424631
"15",1.065199396429e-05
"16",0.00186054340155569
"17",0.00541860489825951
"18",0.00182208074164775
"19",0.0286647397877373
"20",0.0286647397877373
"21",0.00831763031945285
"22",3.25186583771824e-06
"23",0.0515763734029482
"24",0.0142237607626056
"25",0.00739996026520583
"26",0.0515763734029482
"27",0.0515763734029482
"28",0.00387515874331841
"29",0.000808107254279877
"30",0.000315081070396884
"31",0.00476488482466805
"32",0.0487645508537784
"33",0.0078017921024718
"34",0.000219383894433816
"35",0.042536174246465
"36",0.042536174246465
"37",0.042536174246465
"38",0.000243406052621759
"39",0.00045295332001227
"40",0.0360577634785672
"41",0.0360577634785672
"42",0.000913217284172357
"43",0.0208313038357443
"44",0.0118099396511916
"45",0.00977024045353708
"46",0.00553913391003409
"47",0.00553913391003409
"48",0.0747735269311771
"49",0.0959738207329959
"50",0.0617140169603058
"51",0.0506137652892083
"52",0.0339334545381799
"53",0.0153972889542533
"54",0.0617140169603058
"55",0.0959738207329959
"56",0.0506137652892083
"57",0.0959738207329959
"58",0.0109248243045367
"59",0.0197511500488268
"60",0.0197511500488268
"61",0.0241369390507769
"62",0.00628733210836552
"63",0.00944088486503522
"64",0.0249585811420213
"65",0.00535018619319382
"66",0.0139646569561447
"67",0.0682735468673761
"68",0.030593938736274
"69",0.0115818980042018
"70",0.084979750915623
"71",0.0463408725776343
"72",0.020900351107273
"73",0.0140898502706505
"74",0.00952954982126443
"75",0.0255191519259202
"76",0.0310298439160767
"77",0.00343604449188642
"78",0.00059485163434978
"79",0.00747599807266136
"80",0.0306236486617962
"81",0.0720892024785632
"82",0.0108548776382217
"83",0.0247267141655043
"84",0.133707891160384
"85",0.112158632825098
"86",0.0571197099977149
"87",0.0716311607851955
"88",0.112158632825098
"89",0.00766224388671035
"90",0.0558857603522316
"91",0.0703562238866484
"92",0.0346158828449275
"93",0.0433065678730517
"94",0.0889446756065959
"95",0.0268734395750861
"96",0.0543723659441765
